Program,Notes,Frequencies
"Hepatitis General Secondary",,284|458|477|534|788|922|9670|768|777|1041
"Hepatitis General V",,987|934|922|878|876|842|786|781|563|562|558|534|528|477|334|321|317|224|213|166
"Hernia",,10000|787|727|2720|5000
"Herpes General","Use 1488 and 2950 for 15min, 1488*",2950|1900|1577|1550|1489|1488|629|464|450|383|304|165|141
"Herpes General Secondary",,37000
"Herpes General V",,165|141|383|450|629
"Herpes Progenetalis","Genital. Also use Herpes simplex II",141|878|898|5310|440|171|660|590|1175
"Herpes Simplex I","Secondary. Cold sores: primarily non-genital, first try Herpes,general",322|476|589|664|785|822|895|944|1043|1614|2062|1489|2950
"Herpes Simplex I 1",,339|343|480|591|778|782|843|1614|657|699|700|734
"Herpes Simplex I 2",,2489|1800|465|1550|1500|880|787|727|1850|428
"Herpes Simplex I 3",,470|647|648|650|652|654|656|658|660|847|5641|8650
"Herpes Simplex I 4","Use 2950 for 20min",2950
"Herpes Simplex I HC",,14537.82|17201.43|723.80|856.41
"Herpes Simplex II",,556|832
"Herpes Simplex II HC",,17923.34|17674.41|892.35|879.96
"Herpes Simplex IU2",,808
"Herpes Simplex RTI","Based on Resonant Light Technology’s herpes set, most frequencies contracting spread. Also can be used for measles, chicken and small pox, mononucleosis, shingles, rubella, cold sores, epstein barr, variola, stoma stomatosis, and pyorrhea.",10000|5000|3176|2489|186|372|427|446|465|484|503|522|541|560|579|598|617|636|655|674|693|712|731|750|769|788|807|826|845|864|883|902|921|940|959|978|997|1016|1035|1054|1073|1488|1550|1568|1644|1865|1909|2976|5310|5952
"Herpes TR","Run set three times, pausing 10 minutes between runs. All frequencies can run 60 sec except 2950|which runs 180 sec",2950|322|476|468|589|664|785|822|895|936|944|1043|1614|1871|2062|1489|3742|748
"Herpes Type 1 Anec Comp","Combines most anecdotal freqs for Simplex I",8650|7484|5641|3742|2950|2489|1871|1850|1800|1614|1550|1500|935.5|880|847|843|787|782|778|734|727|700|660|656|652|648|591|480|467.8|428|343|339
"Herpes Type 2 Comp",,8778|1402|888|880|848|846|832|808|776|732|717|685|665|556|540|532|528|373|370|366|362
"Herpes Type 2A",,532|848
"Herpes Type 2A Secondary",,360|362|364|366|368|370|373|528|685|846|880|888|8778|540|665|716|717|718|731|732|733|776|1402
"Herpes Type 5","Cytomegalovirus. 2145*",126|597|629|682|1045|2145|8848|8856
"Herpes Type C",,395|424|460|533|554|701|745|2450
"Herpes Zoster","Chicken pox, shingles. 664*",3343|2320|2170|1600|1500|1160|914|880|833|802|787|664|580|3.9
"Herpes Zoster 1","4 min each freq",10000|833|802|3.9
"Herpes Zoster Secondary",,1550|802|1800|1865|728|2720|2128|5000|464|800|574|1557|304|20
"Herpes Zoster V",,7160|3343|2431|2323|1577|1544|40887|958|934|787|786|738|718|716|686|668|643|576|574|573|572|563|554|542|453|446|436|425|423|411|345|333|223|134
"Hiatal Hernia","Use staph and strep sets",
"Hiccups",,20|10000
"Hip Pain","Use also Arthritis",880|787|727|20
"Hirudo Medicinalis","A homeopathic remedy prepared from a leech used for therapeutic purposes",128
"Histomonas Meleagridis HC",,18769.72|934.49
"Histoplasma",,424|616|749
"Histoplasma Capsulatum HC",,15035.69|748.58
"HIV","See also AIDS",683|714|3554|830|450
"HIV HC",,18172.28|904.74
"Hives","Use Urticaria",
"Hoarseness",,880|760|727
"Hodgkins Disease","Use Cancer, Hodgkin's disease",
"Hookworm","Use Parasites hookworm",
"Hordeolum","Use Stye",
"Hormodendrum","A genus of fungi that includes human pathogens",663|678|695|532|627
"Hormonal Imbalances",,5.5
"Hot Flashes","Complications",10000|880|787|727
"Hot Tub Folliculitis","Use Pseudomonas freqs",
"Household Insect Mix",,723|100
"Human T Lymphocyte Virus1","Used for MS and autoimmune disease",725|2432|243|6353|732|844|646
"Human T Lymphocyte Virus2","Used for Gulf War syndrome",725|1230|245|314|965
"Human T Lymphocyte Virus3","Used for AIDS",633|1220|6230|8225|111|392|776|837|1675|2664|3806|714
"Human T Lymphocyte Virus4",,444|2323
"Human T Lymphocyte Virus5",,83|235|645|2323|3432|4093|5532
"Human T Lymphocyte Virus6",,702|747|2245|183
"Hydrocele","Fluid in testicle, etc.",880|787|727
"Hyperacidity Stomach",,7.82|20|230
"Hyperosmia","Overacute smell and taste",20|10000|522|146
"Hyperparathyroidism",,4.6|9.5|9.6
"Hypertension",,3176|2112|20|95|324|528|15|9.19|7.83|6|10000|880|787|727|304
"Hypertension Renin Induced","Red high, diastolic high pressure. Also see Kidney freqs",9.19|6
"Hypertension Spastic",,95
"Hyperthyroid",,3|0.5
"Hypochondrium Upper Abdomen",,20|10000
"Hypophyseal Disturbances","Pituitary",4
"Hypotension","Low blood pressure",20|727|787|880
"Hypothyroid",,2|12|35|16000|10000|160|80|20
"Hypoxia","Low oxygen, use also Circulatory stasis",727|787|880|10000
"Icterus Haemolytic","A chronic form of jaundice involving anemia",243|768
"Ileocolitis Colon Inflammation","Also use Colitis if necssary and see Parasite general and roundworm sets",802|832|440
"Immune System Stabilization TR",,330|10000|7344|5000|1550|1234|740|880|835|787|727|30
"Immune System Stimulation",,10000|5611|5000|4014|3448|3347|3176|2929|2867|2855|2791|2720|2489|2180|2128|2008|1862|1488|880|800|787|728|665|464|432|304|120|20|8
"Immune System Stimulation 1",,40.4|40.5|40.6|40.7|40.8
"Impotence","Many classes. Also use Circulatory stasis",9.39|2127|2008|465|10000|880|802|787|727|690|666|125|95|73|72|20|650|625|600
"Incontinence 1","Use all freqs for 10 min",2250|2050|2128|690|666
"Indigestion","Use Dyspepsia",
"Infantile Paralysis","Also use Polio",1500|880|787|727|776|5000|10000
"Infections General","See General Antiseptic",1550|880|802|786|728|465|444|125|95|72|48|20|304|1.2|5500|676|422|766
"Infections General Secondary",,5000|1600|1500|832|776|760|700|690|666|650|625|600|1865|500|450|440|428|660|2112
"Infections General Tertiary",,1800|2720|2489|832|3040|2008|1850|610|732|751|40000
"Infertility","See also Impotence",2127|2008|465|880|802|787|727|690|666|650|625|600|9.39
"Inflammation General","Also see Infection general sets",1.5|3.6|2720
"Influencinum Berlin 55",,430|720|733|787
"Influencinum Vesic NW",,332|364|519|588|590|238|239|715
"Influencinum Vesic SW",,433|645|658|824
"Influencinum Vesica General","Blisters",203|292|588|612|975|407|682
"Influenza","Mutates to new strains constantly but these may be helpful. See also Influenza, Grippe and Influenza Virus. Use all freqs for 5 min if necessary",7766|7764|7762|7760|7344|5000|3672|2720|2050|2008|1947|1674|1550|1500|1234|885|880|875|800|786|728|683|512|464|440|304|20
"Influenza 1 99 00",,10000|880|727|330|728
"Influenza 1957 A Asian",,768|574
"Influenza 1978",,844|814|610
"Influenza 1979",,123|513|522|565|788|601
"Influenza 1983",,424|730|734|428
"Influenza 1989",,216|322|627|703|748
"Influenza 1993",,522|615|778|850|959
"Influenza 1993 Secondary",,207|254|580|582|584|586|588|848|947|7967|8910|739|741|760|765|773|915
"Influenza 1994",,689|697|699|798
"Influenza 1994 Secondary",,337|690|868|869|702|727|729|776|779
"Influenza 1997 1998",,2008|880|787|727|35|20|465
"Influenza 2 99 00",,440|465|613|666|727|787|800|1000|5000|10000
"Influenza 2003 2004 1",,7344|3672|1234|880|743|727|683|464|452|333|72|200|93.9|2720|2489|1800|1600|1550|885|875|832|802|787|776|766|1500|832|787|650|625|600|465|144|582
"Influenza 2003 2004 2",,8911.25|9113.5|9141.5|9393.13|6654.69|7255|7284.06|8041.5|10334.06|10346.56|10976.38|7414.28|7631.09|7632.66|7667.38|7676.94|8045.81|8082.59|8305.19|5548.59|5549.22|5554.69|5554.84|5558.75|5560.78|5562.5|7118.2|5045.03|6752.01
"Influenza 2005 Fall TR",,2950|322|476|468|589|664|785|822|895|936|944|1043|1614|1871|2062|1489|3742|748
"Influenza 2005-2006 TR",,2748.8|5695.9|2856.7|2935.4|4159.2|4534.4|2276.3|2504.5|3229.4|6466.6|1715.1|4633.9|4769.4|1192.6|599|2390|1257.2|315.7|5190.7|1734|6936.5|867.9|434|217.1|6951|4448.9|6306.3|4220|8478|1216|1214|1060|1010|935|778|777|465|457|445|433|425
"Influenza A And B HC","Flu shot",15931.86|15682.93|793.20|780.81
"Influenza Aches And Respiratory","Use 7760 and 7766 for 10 min, all others for 5",440|512|683|728|784|787|800|875|880|885|2050|2720|5000|7760|7766|304
"Influenza And Cold 1","Winter 01 to 02",959|962
"Influenza Asian Grippe A",,516|656|434
"Influenza Avian Exp TR","Sweep from 4896.1 to 5060.9 by .03125 dwell 1",
"Influenza Autumn 1998","Use 8700 and 7760 for 15min",250|465|8210|8700|7760
"Influenza Bach Poly",,122|350|487|572|634|768|823|1043|1272|764|771
"Influenza General 1","Winter 98 to 99",6984|6986|6988|6990|6992|6994|6996|6998|7000|7002|7004|7006|7008|7010|7012|7014|7016
"Influenza Grippe 1986 Tri",,532|588|660|662|664|666|668|670|994|462|712
"Influenza Grippe 1987",,140|332|581|953|4868|730
"Influenza Grippe 1988",,267|536|568|2050|752|781
"Influenza Grippe 1989",,353|536|874
"Influenza Grippe 1990",,541|560|656
"Influenza Grippe General",,343|500|512|541|862|1000|1192|3012|3423|10223
"Influenza Grippe Vapch",,153|343
"Influenza Haemophilus",,542|552|885|959|734|633.1|2532.4
"Influenza Haemophilus Type B","Can cause a type of meningitis",652|942|483|731|746
"Influenza Spanish",,462|787
"Influenza 2005 Sweep TR","Long sweep from 9750 to 10156.25 by 0.03125 steps at 0.25 sec duration/step",
"Influenza Overnight TR","Combines many of the CAFL flu frequencies into on large set. TR specifies to pulse 0.25 90|use duration of 90 sec per freq to make approx 8 hr set",10223|10000|9090|8910|8700|8250|8210|8000|7967|7766|7764|7762|7760|7344|6984|6986|6988|6990|6992|6994|6996|6998|7000|7002|7004|7006|7008|7010|7012|7014|7016|5608|5000|4868|3672|3423|3122|3012|2720|2544|2532.4|2489|2558|2398|2050|2008|1947|1922|1800|1674|1600|1550|1500|1422|1272|1242|1234|1215|1192|1191|1186|1043|1020|1000|995|994|985|984|969|967|962|959|954|953|947|946|945|942|932|922|915|895|889|885|880|878|875|874|869|868|863|862|861|850|848|844|841|839|836|833|832|823|814|802|800|798|788|787|786|784|782|781|780|779|778|777|776|773|771|770|768|766|765|764|763|762|761|760|758|757|756|753|752|750|748|746|745|743|742|741|740|739|734|732|731|730|729|728|727|726|724|722|720|715|713|712|703|702|699|697|690|689|687|683|680|679|678|676|674|672|670|668|666|664|663|662|660|656|653|652|651|650|649|647|640|632|634|633.1|627|625|615|613|610|601|600|597|588|582|581|580|574|572|568|566|565|560|558|555|553|552|542|541|537|536|535|534|532|530|525|524|523|522|518|516|513|512|500|496|487|483|482|472|469|468|465|464|462|461|457|452|447|442|440|434|432|428|425|424|421|413|387|360|358|356|354|353|352|350|345|343|341|340|338|337|336|334|333|332|330|324|322|316|304|272|267|254|250|232|216|207|200|153|144|140|123|122|93.9|72|47|35|20
"Influenza Triple Nosode",,421|632|1242|1422|1922|3122
"Influenza V Grippe",,861
"Influenza V2 Grippe",,324|652|653
"Influenza V3 Grippe",,550|553
"Influenza V4 Grippe",,232|352|2558
"Influenza V5 Grippe",,945|518
"Influenza V75 Victoria",,343|316|1020
"Influenza VA2 Grippe",,334|472|496|833|836|922|728
"Influenza VA2L Grippe",,447
"Influenza Virus 1991 1992",,153|345|387|758|984|985
"Influenza Virus 1991 1992 Secondary",,330|332|334|336|338|340|350|352|354|356|358|360|525|632|740|761|762|776|777|780
"Influenza Virus 1992 1993",,535|946
"Influenza Virus 1992 1993 Secondary",,272|534|566|668|674|776|782|947|632|640|713|715|742|773|777
"Influenza Virus 1993 1994",,757|885|895|969
"Influenza Virus 1993 1994 Secondary",,447|457|597|756|764|776|798|878|967|9090|663|720|728|729|745|762|764|770|773|779
"Influenza Virus A",,322|332|776
"Influenza Virus A 1974",,442
"Influenza Virus A Port Chalmers",,622|863
"Influenza Virus B",,468|530|532|536|537|568|722|740|742|744|746|748|750|1186|679
"Influenza Virus B Hong Kong",,555
"Influenza Virus British",,558|932
"Influenza Virus General",,728|800|880|7760|8000|8250
"Influenza Virus Swine",,413|432|663|839|995
"Influenza With Fever V",,954|889|841|787|763|753|742|523|513|482|469|461|425|341|332
"Influenza With Respiratory 1","Winter 99 to 00",47|1191|2398|2544|5608|7760|7766|672|674|676|678|680|647|649|651|653|1215|724|726|728|730|732|746|768|687
"Influenzum Toxicum",,854
"Injection Allergic Reaction",,10000
"Insomnia","See also Parasite general set",3.59|3|7.83|10|1550|1500|880|802|6000|304
"Intelligence And Clarity Of Thought",,20|10000
"Intercostal Neuralgia","Pain in rib musculature",3000|1550|880|802|787|776|727|125|20|1865|444
"Interleukin","Used to stimulate lymphocyte production",3448|2929|4014|5611|2867|2855|2791
"Intermittent Claudication",,45|48
"Intestinal Problems Colon","See also Colitis",10|440|880|787|727
"Intestinal Problems General","Also see Parasite general set and General antiseptic",802
"Intestines Inflammation","See also Colitis",727|787|880|832|1550|105|791
"Iodamoeba Butschlii HC",,22155.25|1103.04
"Irritable Bowel Syndrome","See also Parasites general set and Colitis",6766|5429|4334|2018|1550|880|832|829|812|802|787|727|465|422|407|334|20
"Itching","Pruritis. Take hot bath with a cup of apple cider vinegar afterwards. If chronic and no long term relief, use Parasite sets including Parasites general and Parasites blood flukes.",880|787|727|444|125|95|72|20|1865|3176
"Jaundice","See also Liver support, gallbladder, Leptospirosis, and Parasites fluke and general frequency sets",5000|1600|1550|1500|880|802|650|625|600|444|1865|146|250|125|95|72|20
"Jock Itch","Use Epidermophyton floccinum",
"Joint Inflammation","Also see Arthritis sets",10000
"Joint Pain Basic TR","Also known as Pain.Bio, run 160|500|1600|5000 with pulse 4 60|1600 500 160 with pulse 2 60|160 324 528 with pulse 2 60 converge 1 1",160|500|1600|5000|324|528
"Kaposis Sarcoma","Use Cancer_Kaposis_sarcoma",
"Kidney Insufficiency",,9.2|10|40|440|1600|1550|1500|880|802|650|625|600|444|1865|146|250|125|95|72|20
"Kidney Papilloma","Small, usually benign growth on a kidney",110|148|264|634|767|848|917|760|762|1102
"Kidney Stimulation TR","Specified by True Rife as may help against infections common in acute renal failure",4412|2720|2400|2112|1864|1600|1550|1500|880|854|800|784|751|732|728|712|668|651|644|625|600|524|465|442|334|250|240|152|146|28|125|120|112|100|96|93|72|64|40|20|2222|1153|1134|1016|582|676|440
"Kidney Stones","Use with vitamin, mineral, and herb supplementation",444|727|787|880|10000|6000|3000|3.5|1552
"Kidney Tonic General",,440|248|8|880|20|10000|800|5000|3000
"Kieferosteitis","A type of bone inflammation marked by enlargement and pain",432|516|384
"Klebsiella Pneumoniae","Use Pneumoniae klebsiella",
"Knee Joint Pain",,1550|880|802|787|727|28|20|7.69|3|1.2|250|9.6|9.39
"L Lysine","Stimulates",195.5|391|782|1564.1|3128.2|6256.4
"Lac Deflorat",,230|371|232|2121
"Lactobacillus Acidophilus HC",,17375.69|865.08
"Lamblia","Use Parasites, Giardia",
"Large Intestine Tonic",,8|440|880
"Laryngeal Polyp",,765|202
"Larynx",,10|440|465|444|1550|880|802|787|727|28|7.69|3|1.2|250|9.6|9.39
"Lateral Sclerose","Degeneration of spinal cord leading to spastic paraplegia. See also ALS.",254
"Laxative Mild",,802
"Legionella","Legionnaires' disease, caused by a gram-negative bacteria associated with condensed or treated water that migrate to lung tissue and stimulate severe respiratory manifestations, fever, headache, abdominal pain, and may affect kidneys and liver.",723|724|897|975|8120|8856|690|693
"Leiomyoma","Use Fibroma",
"Leishman Donovan","Use Parasites, Leishmania",
"Leprosy",,10000|6000|743|600|252
"Leprosy Secondary Infection",,1600|1550|1500|880|832|802|787|776|760|727|700|690|666|650|625|600|465|444|20|500|450|440|428|660
"Leptospira Interrogans HC",,19865.04|989.02
"Leptospirosis","A spirochete bacterial disease that is spread to humans through animal urine that can cause meningitis, jaundice, anemia, miscarriage, and death",612|663
"Leukocytogenesis Stimulation","See also Immune system stimulation",20|727
"Leucocytozoon HC",,19914.83|991.50
"Leukoderma Acquired","Use Vitiligo",
"Leukoencephalitis","Inflammation of brain's white matter, usually in infants and children, but also found in horses as a result of forage poisoning",324|572|776|934|1079|1111|1333
"Leukoencephalitis Secondary",,338|783|932|1035|1160|1630|712|713|715|1244
"Leukoplakia","White patches on mucous membranes, also see EBV, Papilloma, and Cancer, carcinoma freqs",465|2127|2008|727|690|666
"Leukose","Proliferation of tissues that form white blood cells; considered to be foundational stage of leukemia. See also Cancer Leukemia, Parasite general, Parasite fluke sets",612|633|653|3722|644
"Lichen Planus TR",,728|166|224|317|727|787|880|2189|7344|4412|1550|1234|740|880|787|727|330|10000|5000|30
"Lichen Sclerosus TR",,1600|500|160|324|528|7344|4412|1550|1234|740|880|787|727|330|10000|5000|30
"Lipoma","Benign, soft tumor of fatty tissue. Also use Liver support.",47|606|709
"Listeriose","A serious disease causing miscarriage, meningitis, and endocarditis in humans; known as circling disease in ruminants and causes liver necrosis in animals with single stomachs. Also see Strep general and General infection",377|471|626|628|634|774|2162|7867|714|724
"Liver Enlargement",,727|787|880
"Liver Fluke","Use Parasites, flukes",
"Liver Necrosis","Use Listeriose, Liver support, Parasites schistosoma mansoni",
"Liver Stores Bile Cholesterol",,21.34
"Liver Support","Also try E_coli, Parasites_general and Parasites_flukes_general",33.13|1552|802|751|331.3
"Lockjaw","Use Tetanus",
"Locomotor Dysfunction Incoordination","May be slow results. See also Schumann response",10000|880|787|776|727|650|625|600|444|1865|125|95|72|20
"Low Blood Pressure","Use hypotension",
"Luesinum Syphilinum","Use Syphillis",
"Lumbago",,10000|800|880|787|727|125|95|72|444|1865|9.19|8.25|7.69|300
"Lung","General",9|3672
"Lung Abscess","Use Nocardia asteroides",
"Lung Infection 1",,10.3|10.5|11.8|11.9|12.1|12.4
"Lung General Tonic",,318|307.9|568
"Lung Sinus Bacteria",,244|1466|597|1311
"Lupus General","Localized degeneration of skin by various diseases; vulgaris is a common form of this ailment that is actually a rare form of tuberculosis that manifests with disfigurement and destruction of the skin and cartilage of the face. Also use Parasite fluke sets for any type. Use 633 for 5 min, 2125 and 3612 for 4 min, 2008 and 802 for 8 min",3612|2489|2125|2010|2008|2006|942|802|800|798|702|633|632|442|386|243
"Lupus General Secondary",,205|244|352|633|847|921|993|1333|1464|7865|771
"Lupus SLE Secondary",,2180|2128|2008|1552|880|784|664|304|386|678|481
"Luxation","Dislocation of organs or joints",9.1|110
"Lycogala HC",,6273.17|312.32
"Lyme And Rocky Mtn Spotted Fever V",,7989|1590|239|846|422|417|1455|39975|40439|884|797|758|693|673|577|4870|4880|578|128|579
"Lyme Disease","Also known as borreliosis; relapsing fever in humans and animals caused by parasitic spirochetes from ticks. Also use Babesia if necessary.",6870|6863|46866|46851|34170|34112|4200|2050|2016|1520|1455|920|884|800|797|758|673|625|615|605|432|345|344|338|254
"Lyme 1",,864|495|485|490|495|500|505|625|610|615|620|625|630|690|790|785|790|795
"Lyme 2","Use 625 for 10 min, 615 for 5 min",10000|6870|6863|4200|2720|2050|2016|1520|1455|943|920|885|884|880|864|800|797|795|790|785|758|732|727|699|690|688|673|664|673|660|644|630|625|620|615|610|605|597|534|533|525|510|505|495|485|490|500|484|432|345|344|338|306|254|230|3
"Lyme 3",,27735768|1380882.58|68750.10|3422.87
"Lyme 4","Use 2016 and 625 for 10 min, others for 5 min",2050|1520|615|2016|625
"Lyme 5","Use 920 for 10 min",920
"Lyme 6","Borrelia afzellii",387500
"Lyme 7","Borrelia burgdorferi",380000
"Lyme 8","Borrelia garinii",382000
"Lyme Hatchlings Eggs",,640|8554|203|412|414|589|667|840|1000|1072|1087|1105
"Lyme JB",,27735768
"Lyme Secondary","254*",254|525|597|644|885|699
"Lyme Tertiary",,306|432|484|610|625|690|864|2016|790
"Lyme TR A","Program A, run every other day",6675|4879|2899|2720|2016|1800|1600|1550|1519|1455|1433|885|880|863|828|802|786|776
"Lyme TR B","Program B, run every other day",765|758|749|726|672|604|600|581|464|451|432|345|250|144|62
"Lymph Plaque",,596|346
"Lymph Stasis","Use 3176 for 10 minutes",3176
"Lymph Stasis Secondary","Also see Lymphangitis",6.3|148|522|146|444|440|880|787|727|10000|2.5|465|10
"Lymph Support",,15.05|10.36|3176
"Lymphangitis","Lymphatic vessel inflammation of humans and horses most commonly caused by strep but also by other bacteria, yeast fungus, and cancer. See also Strep General",880|574|778|1120|1078|3176
"Lymphogranuloma","Use Cancer, Hodgkin's disease",
"Lymphs And Detox",,10000|3177|3176|3175|880|787|751|727|676|635|625|522|465|444|440|304|148|146|15.2|15.05|10.36|10|7.83|6.3|2.5
"Lymph Mover",,100000
"Lyssinum","Use Rabies",
"Macular Degeneration And Visual Acuity","Use with Cataracts freqs if necessary, 1830*",8|1830|1832|1834|1836|1838|1840|1842|1844|1846|1848|1850|1852|1854|1856|1858|1860
"Macular Degeneration 1",,0.6|1.1|1.4|1.9|9.9|10|21|23.6|24|25.6|26.7|32|34.1|410
"Magnesium",,480
"Malabsorption Syndrome","Use with Parasites, General set",727|787|880|800|1552|3000
"Malaria","An infectious disease, originating in tropical areas, that is transmitted by a mosquito bite and characterized by fever, anemia, and spleen enlargement. Also use wormwood annua. Also see Perniciosia",4|20|28|222|550|713|880|930|1032|1433|1444|1445|455|743
"Malaria 1",,20|555
"Malaria 2",,20|28|787|880
"Malaria 3","All freqs 5 to 15 min each",880|800|787|728|20
"Malaria Falciparum 1",,1518|1348|1473|1002|1019
"Malassezia Furfur","Causes tinea versicolor. See also Fungus general",222|225|491|616|700
"Mamma Fibromatosis","Use Breast, fibroid cysts",
"Mange Follicular",,253|693
"Mannan",,961|661
"Marsh Elder",,474
"Mastitis","An inflamed breast usually caused by bacterial infection",654|698
"Mastoiditis","Inflammation of the bony structure of the head in the region of the ears below the eyes",287
"Measles",,727|787|880|342|442|443|467|520|521|552|1489|745|757|763|712
"Measles HC","Antigen",18471.00|919.62
"Measles Rubella","German or 3 day measles",431|459|510|517|796|967|368|734|772
"Measles Rubella Secondary",,727|787|880
"Measles Rubella Vaccine",,429|459|832|926|505
"Measles Rubeola","9 day measles",342|467|520|784|787|962|1489
"Measles Vaccine",,214|725|747|783|962
"Measles W Vaccine","Try for autism",1489|962|880|787|783|763|757|747|745|727|725|712|552|521|467|443|342|214
"Medorrhinum","Homeopathic nosode for urethral discharge. See also Vaginosis.",230|442|554|843|854|1700|1880|2222|602
"Menieres 1",,8.8|8.9|9.0
"Menieres 2",,456.6|723|880
"Menieres Disease","Auditory vertigo associated with deafness and tinnitus. Use 5000 for 16 min, 782 for 26 min, others for 7 min. Also use General_antiseptic",1550|802|880|787|727|465|428|33|329|5000|1130|782|9
"Meningcoccus Virus",,720
"Meningioma","A benign, slow-growing tumor of the membranes that envelop the brain and spinal cord",446|535|537
"Meningitis","Inflammation of the membranes that envelop the brain and spinal cord. Bacterial: also use Streptococcus pneumoniae, Influenza haemophilus type B and see Listeriose and Leptospirosis. Viral: also use Echo, Coxsackie, and Polio",5000|1795|1422|1044|928|822|764|733|720|517|427|423|322|20
"Meningitis Secondary",,130|676|677|507
"Meningitis Tertiary",,1550|802|880|832|787|727|650|625|600|465|444|1865|125|95|72|20|428|660
"Menopause Symptoms TR",,880|787|727|5.5
"Menstrual Problems","Douche with plain water first",880|1550|802|787|727|465|20
"Mental Concentration",,10000|7.82
"Mental Disorders","General aid; especially if toxins are the cause. Also use mineral supplement",522|146|10000|125|95|72|20|4.9|428|550|802|7.83
"Mercury Toxicity V",,47|48|49|75
"Methotrexate Toxicity",,584
"Microsporum Audouini","A fungus which commonly causes ringworm of the scalp and other areas",422|831|1222|285
"Microsporum Canis","A fungus causing ringworm in cats, dogs, and children",347|970|1644|402|650
"Migraine","Also use Parasites strongyloides and general sets",10
"Mold","See also specific types",222|242|523|565|592|623|745|933|1130|1155|1333|1833|4442
"Mold And Fungus General V","See also specific types",4442|2411|1833|1823|1333|1155|1130|1016|942|933|886|880|866|784|774|766|745|743|728|623|623|594|592|565|555|524|512|464|414|374|344|337|321|254|242|222|158|132
"Moles",,20|120|177|600|625|626|650|659|660|728|784|880|464
"Moles 1","Use 761.7 for 15 min, others for 10 min",761.7|650|625|600|76.2
"Mononucleosis","Use Epstein Barr virus",
"Monotospora Languinosa","Homeopathic remedy for fungal allergen",788
"Morbillinum",,467|520|1489
"Morbus Parkinson","Use Parkinson's disease",
"Morgan","Bact",778|784|787|788|988|726
"Morgellons Disease TR",,5858.25|5856.375|4271.25|4264|330|10000|7344|5000|1550|1234|740|880|835|787|727|160|500|1600|5611|4014|3448|3347|3176|2929|2867|2855|2791|2720|2489|2180|1862|1488|880|800|787|728|665|464|432|304|120|30|20|8|920|2016|625
"Motion Sickness","Also see nausea",10000|5000|648|624|600|465|440|648|444|1865|522|190|146|125|95|72|20
"Mouth Eruptions Herpes","Use Herpes and Herpes Simplex I",
"Mouth Eruptions White Patches","Use leukoplakia",
"Mucocutan Perniciosis",,833|667|756
"Mucor Mucedo","Causes rot in fruit and baked goods & sometimes found on feet and skin",612|1000|488|766|9788|735
"Mucor Plumbeus",,361|578|785|877
"Mucor Racemosis","Grows on decaying vegetation and bread and can cause ear infection",310|474|875
"Mucor Racemosis Secondary",,473|686|871|873|876|878|887|7768|7976|8788|713|729|731|751|760|778|1200
"Mucormycosis","Use Zygomycosis",
"Mucous Membrane Inflammation General",,380
"Mucoviscidosis","Use Cystic fibrosis",
"Multiple Sclerosis 1","Use 5000 for 30min",5000|4992|23570.5|3767|3056.9|2720|2466.9|2252.8|2213|2189|2088.59|1883|1875|1550|1331|880|854|840|802|787|784|728|690|660|624|620|524|470|464|430|421|317|304.6|275|253|241.68|235|224|218|166|143|80.9|20
"Multiple Sclerosis 2",,5000|23570.5|3056.9|2466.9|2252.8|2088.59|880|787|728|690|660|304.6|241.68|80.9|20
"Multiple Sclerosis 3",,2253|2467|2357|2358|242|305|2089|3057|81|5000|1550|802|880|787|728|690|660|20
"Multiple Sclerosis 4",,3040|5000|2720|10000|470|120|240|300|328|728|880|2005|2006|2007|2008|2009|2010|2011|20
"Multiple Sclerosis 5","Use 5000 for 30 min",5000|728|166|224|317|727|787|880|218
"Multiple Sclerosis 6","Use 5000 for 10 min",10000|6000|5000|3176|2489|3057|2008|2358|1488|2467|3040|880|787|800|728|665|464|242|224|304|166|120|20
"Multiple Sclerosis Brain",,0.3|140|158|166|169|190|199
"Multiple Sclerosis Brain Infection",,2.6|2.8|5.1|6.7|7.2|7.5|11.3
"Multiple Sclerosis Myelin Sheath Repair",,4.4|8|9.4|9.5|9.8|12.6|13.3|14.2|14.4|14.8|225|259|280
"Multiple Sclerosis Secondary",,20|143|275|430|470|524|620|624|802|840|854|1550|2213|5000|728|784|880|464
"Multiple Sclerosis Stiff Legs",,315.77
"Multiple Sclerosis Tremor Or Twitch",,470
"Multiple Sclerosis V","Aspertame, mercury, benzene, lead, and toluene can cause same symptoms. Also use Chlamydia General and Herpes type 6 and see ALS sets, Herpes general, Blastocystis hominus, Parasites flukes, Shigella, Nocardia, and Herpes zoster",2145|938|862|841|741|739|682|660|572|532|520|477|442|433|344|343|342|338|324|322|253|242|112
"Mumps","Acute viral inflammation of the saliva glands. See also Coxsackie",152|242|642|674|922
"Mumps HC","Antigen",19018.66|946.88
"Mumps Secondary",,190|235|516|1243|1660|2630|3142|9667|729|741|759|761|1170
"Mumps Tertiary",,10000|727|2720|2489|2127|2008|428|880|787|727|20
"Mumps Vaccine",,273|551|711|730|1419
"Muscle Tonic",,20|120|240|300|304|324|328|728|880|5000|10000
"Muscles To Relax",,965|20|120|240|760|6.8|6000|304
"Muscular Dystrophy","Disorder characterized by weakness and progressive wasting of skeletal muscles despite no concomitant wasting of nerve tissue. Aspartame, mercury, benzene, lead, and toluene can cause same symptoms. Also use Parasites flukes and see Parasites general, ALS, MS sets",153|522|146|880|787|727
